specimen(s)
shell(s)
slide(s)
fragment(s)
valve(s)
egg capsule
soft parts
spine(s)
colonies
egg mass
ossicles
artwork
photo
bodies
substrate
larval shells
radula
perinotum
tube
beaks
casting
