IdentifiedTypifiedNameVerbatim,IdentifiedTypeStatusVerbatim,IdentifiedTypeStatusReferencesVerbatim,IdentifiedByVerbatim,IdentifiedYear,IdentifiedMonth,IdentifiedDay,IdentificationRemarksVerbatim,SequentialNumber,CatalogNumber,Remarks
Anthospermum ferrugineum E. & Z.,Iso-TYPE,,C. PUFF,1983,4,30,,,DUMMY-1,
A[nthospermum] lanceolatum Thunb. var latifolium SOND.,SYNTYPE,,C. PUFF,1983,4,30,,,DUMMY-1,
,ISOTYPUS,,,,,,,,DUMMY-1,Red type label: ”ISOTYPUS”
Heliotropium coromandelianum var. obovatum DC.,ISOTYPUS,Prodr. 9: 541. 1845,H. Förther,1994,11,,,,DUMMY-2,
Heliotropium niloticum A. DC.,SYNTYPUS,Prodr. 9: 541. 1845,H. Förther,1994,11,,,,DUMMY-2,
